sa2_code,sa2_name,total_pop,pct_youth_18_34,median_age,median_weekly_income,median_weekly_rent,pct_students,rent_to_income_ratio
103041079,Orange Surrounds,11830.0,0.1293322062552832,43.0,855.0,260.0,0.141970310391363,0.3040935672514619
104011080,Grafton,19255.0,0.1674889639054791,43.0,607.0,300.0,0.1509050609530846,0.4942339373970346
104011081,Grafton Surrounds,16875.0,0.1434074074074074,49.0,552.0,300.0,0.0997684291779235,0.5434782608695652
104011082,Maclean - Yamba - Iluka,17533.0,0.106713055381281,55.0,571.0,360.0,0.1428571428571428,0.6304728546409807
104021083,Bellingen,6168.0,0.1076523994811932,46.0,647.0,370.0,0.164039408866995,0.5718701700154559
104021084,Coffs Harbour - North,18099.0,0.1690148626995966,42.0,655.0,355.0,0.2042705971277399,0.5419847328244275
104021085,Coffs Harbour - South,11305.0,0.1712516585581601,45.0,648.0,360.0,0.2091521617069062,0.5555555555555556
104021086,Coramba - Nana Glen - Bucca,3950.0,0.1427848101265822,44.0,723.0,365.0,0.1611535199321458,0.5048409405255878
104021087,Dorrigo,3250.0,0.1172307692307692,54.0,532.0,280.0,0.1197097944377267,0.5263157894736842
104021088,Korora - Emerald Beach,10262.0,0.1294094718378483,43.0,848.0,458.0,0.1674084217733653,0.5400943396226415
104021089,Sawtell - Boambee,20066.0,0.1458187979667098,45.0,683.0,370.0,0.1704565801253357,0.541727672035139
104021090,Urunga,4907.0,0.1118809863460362,53.0,603.0,350.0,0.1647540983606557,0.5804311774461028
104021091,Woolgoolga - Arrawarra,14463.0,0.1704349028555624,43.0,674.0,380.0,0.1752386002120891,0.5637982195845698
105011092,Bourke - Brewarrina,3428.0,0.2012835472578763,36.0,770.0,160.0,0.0884462151394422,0.2077922077922078
105011093,Cobar,4129.0,0.2010171954468394,37.0,880.0,190.0,0.1127659574468085,0.2159090909090909
105011094,Coonamble,3926.0,0.1747325522159959,38.0,675.0,190.0,0.0886581469648562,0.2814814814814815
105011095,Nyngan - Warren,4591.0,0.1707688956654323,44.0,750.0,200.0,0.1317663817663817,0.2666666666666666
105011096,Walgett - Lightning Ridge,5534.0,0.1629924105529454,44.0,547.0,179.0,0.0522456461961503,0.3272394881170018
105021097,Broken Hill,17588.0,0.1750056856947919,44.0,647.0,220.0,0.1536426536426536,0.3400309119010819
105021098,Far West,2288.0,0.1691433566433566,43.0,583.0,150.0,0.0592105263157894,0.2572898799313893
105031099,Coonabarabran,7921.0,0.1277616462567857,50.0,557.0,200.0,0.0909090909090909,0.3590664272890485
